excerptpost_authorid,excerptpost_topic_count
-1,18
53,2
75,1
84,1
118,3
156,1
200,1
201,72
227,1
229,3
836,2
843,7
2961,1
3117,1
3151,1
6496,1
6622,1
7714,1
8820,8
9102,1
10777,1
10814,1
11097,52
13413,1
13748,2
15197,2
15527,1
16024,1
21024,1
21163,2
23240,1
24000,3
25180,1
25849,1
26562,1
29169,26
29575,4
31513,1
35902,1
38887,1
42460,1
43605,1
45264,1
45799,2
47488,1
49650,1
54395,1
54404,1
59171,3
60503,1
61418,1
64760,5
67328,1
71578,1
76754,1
83275,4
103697,4
105472,1
107258,1
,2
